uid,spotify_id,rating
kyler.zanuck,4s6LhHAV5SEsOV0lC2tjvJ,4
kyler.zanuck,20yPPvSSfIomexVwLdgXSo,3.5
kyler.zanuck,3GXSywNvYLAVUCtjMHkKDh,3
kyler.zanuck,09ttHg3ZNVgDlYBZa1ZBw0,3.5
kyler.zanuck,7fa52ALD2bCARSLj7R0BUw,2.5
kyler.zanuck,1EjQRTG53jsinzk2xlVVJP,4
kyler.zanuck,2qSkIjg1o9h3YT9RAgYN75,1
kyler.zanuck,60lAoxcyDvRbcNY82VEoEA,1
kyler.zanuck,0agQ9vIV7NP4dntGKLcCXO,4
bmilken25,1bjeWoagtHmUKputLVyDxQ,3
bmilken25,76gcXhY3Zv6wW0BTe9nHJo,5
bmilken25,1jJci4qxiYcOHhQR247rEU,5
bmilken25,64BbK9SFKH2jk86U3dGj2P,4
bmilken25,6wWaVoUOzLQJHd3bWAUpdZ,4
bmilken25,4iz9lGMjU1lXS51oPmUmTe,3
bmilken25,68Dni7IE4VyPkTOH9mRWHr,4
bmilken25,31KK3pcPclmIt087tPuwMr,2
nmacnguyen,49OMJ1prsRA7ZYgrAjz70c,5
nmacnguyen,2a1iMaoWQ5MnvLFBDv4qkf,4
nmacnguyen,263aNAQCeFSWipk896byo6,4
nmacnguyen,1D2QnxvMOac95EG9C0KbsJ,5
nmacnguyen,2Lumsra3kuU61wXkEKzKaK,4
nmacnguyen,0GjEhVFGZW8afUYGChu3Rr,4.5
nmacnguyen,5ruzrDWcT0vuJIOMW7gMnW,5
nmacnguyen,4SQLQfcR0vhyIN4uPBlc0d,1
nmacnguyen,1CDQzbCz4KSQxHe7LMEgRM,2
nmacnguyen,1mea3bSkSGXuIRvnydlB5b,2
nmacnguyen,3tFed7YsjGnIfxeLEQwx3R,2
nmacnguyen,1qYKWcEOrh2tM8PlgIm8K1,0
nmacnguyen,6J2rMSRhgb4HuX6dWgM3nJ,4
nmacnguyen,0WQiDwKJclirSYG9v5tayI,4.5
nmacnguyen,3h5zik31hTTat9jmpCZZNC,4.5
nmacnguyen,1EjQRTG53jsinzk2xlVVJP,4
nmacnguyen,0ofHAoxe9vBkTCp2UQIavz,4
nmacnguyen,1jJci4qxiYcOHhQR247rEU,3
nmacnguyen,48CZ9AqqrDIGHDdCyGrZ39,0
nmacnguyen,7cLnbmx7ZUWAwyocrKz3wL,3
bmilken25,4DiNls6kFmF1ZittKsPsTc,2
bmilken25,4s6LhHAV5SEsOV0lC2tjvJ,5
bmilken25,5PQmSHzWnlgG4EBuIqjac2,4.5
beng26,4DiNls6kFmF1ZittKsPsTc,5
beng26,48CZ9AqqrDIGHDdCyGrZ39,1.5
beng26,2QPsboAIv6x1oQQJda1u7l,4
beng26,3Cn1aiqSnvaj3FF4eFT80W,4
beng26,6C7ZgThn6Yan5MTZdAEEFw,4
beng26,3sNVsP50132BTNlImLx70i,1
beng26,11kDth1aKUEUMq9r1pqyds,1
beng26,6ATrsVaZT7XjkCynxM8cTS,3.5
beng26,1kSxm4vU26W5xSUdnPUkyB,4
beng26,0tZ3mElWcr74OOhKEiNz1x,4
beng26,1p80AptLonBW0VilSi6xFj,4
beng26,5KyOUICJIvO0z71MBdPGiX,5
beng26,1nCV2d1RAch7t2kRmwet5N,4
beng26,7FwBtcecmlpc1sLySPXeGE,1.5
beng26,4cHoEtaGdRp4b0yUiQjUx5,4.5
beng26,5sdQOyqq2IDhvmx2lHOpwd,2
beng26,4A0ZTqmb6131trEdQl2dBW,4
bmilken25,1DQrPZrUcoHteMEt69XTeW,4
bmilken25,60lAoxcyDvRbcNY82VEoEA,2
pnelson25,3lCb7ZYE3Fvie4JOPqpXfY,4
pnelson25,7cLnbmx7ZUWAwyocrKz3wL,4
pnelson25,6CUP2khYzdphXebxVTfPE3,3
pnelson25,3KkXRkHbMCARz0aVfEt68P,5
pnelson25,1D3z6HTiQsNmZxjl7F7eoG,3
pnelson25,2z3joGXrdGL2iEjIKQTiN1,4
pnelson25,21O0XXPEWPtePt5RMY93Ob,3
pnelson25,2qOm7ukLyHUXWyR4ZWLwxA,3
pnelson25,4VMiNOpnjRwSCwmHaUfOMM,3
pnelson25,0oBjrHHxFOf5ShTtuxKIQQ,1
pnelson25,4A0ZTqmb6131trEdQl2dBW,1
pnelson25,2g6tReTlM2Akp41g0HaeXN,4
pnelson25,1yeB8MUNeLo9Ek1UEpsyz6,2
pnelson25,0agQ9vIV7NP4dntGKLcCXO,5
pnelson25,4s6LhHAV5SEsOV0lC2tjvJ,4
pnelson25,1VuBmEauSZywQVtqbxNqka,4
beng26,2CGNAOSuO1MEFCbBRgUzjd,4
beng26,3tFed7YsjGnIfxeLEQwx3R,4
beng26,3qiyyUfYe7CRYLucrPmulD,2.5
beng26,4RvWPyQ5RL0ao9LPZeSouE,4.5
beng26,09ttHg3ZNVgDlYBZa1ZBw0,2
beng26,1rp986nzkyAX1wFpxzbwlC,4
bmilken25,1yeB8MUNeLo9Ek1UEpsyz6,2
Jphelps25,3h5zik31hTTat9jmpCZZNC,4
Jphelps25,6cr6UDpkjEaMQ80OjWqEBQ,5
Jphelps25,0mSuvTDv4f0abDpqBCIzIb,2
